serial_number,manifest_id,scientific_name,common_name,tier,model_key,format,tradition,temperature,response_idx,pool,r_species,r_habitat,r_diet,r_iucn,r_overall,notes,saved_at
S0390,iNat_Hydrochoerus_hydrochaeris_02,Hydrochoerus hydrochaeris,Capybara,2,gemma4_8b,childrens,,0.3,0,forced_evasion,1.1,1,1,1,1,,2026-05-18 12:33:08
S0013,GBIF_Equus_quagga_01,Equus quagga,Plains zebra,1,idefics3,mythological,East Asian (Chinese/Japanese),0.3,1,forced_shr1,4,5,5,1,3.7,,2026-05-18 15:28:21
S0310,GBIF_Loxodonta_africana_01,Loxodonta africana,African elephant,4,qwen25vl,childrens,,0.3,0,forced_ehr0,3.3,3.3,2.9,1,3.6,,2026-05-18 15:29:07
S0485,iNat_Strigops_habroptila_04,Strigops habroptila,Kakapo,3,qwen25vl,mythological,West African (Yoruba),0.7,1,forced_shr1,5,5,5,4.4,5,,2026-05-18 15:30:04
S0074,GBIF_Addax_nasomaculatus_02,Addax nasomaculatus,Addax,3,ayavision,childrens,,0.7,1,forced_evasion,1,1,1,1,1,,2026-05-18 15:30:28
S0003,GBIF_Probosciger_aterrimus_02,Probosciger aterrimus,Palm cockatoo,2,llava_interleave,mythological,Hindu,0.3,1,forced_shr1,1,1,1,1,1,,2026-05-18 15:31:08
S0445,iNat_Probosciger_aterrimus_01,Probosciger aterrimus,Palm cockatoo,2,qwen2vl2b,childrens,,0.7,0,stratified_random,2.6,1.1,1,1,1,,2026-05-18 15:32:51
S0092,iNat_Pseudoryx_nghetinhensis_00,Pseudoryx nghetinhensis,Saola,3,llava_interleave,conservation,,0.3,0,forced_ehr_high,1,1,1,1,1,,2026-05-18 15:33:32
S0385,iNat_Addax_nasomaculatus_03,Addax nasomaculatus,Addax,3,ayavision,conservation,,0.7,2,forced_shr1,1,1,3,1,1,,2026-05-18 15:34:17
S0440,GBIF_Panthera_pardus_orientalis_01,Panthera pardus orientalis,Amur leopard,3,gemma4_8b,childrens,,0.7,1,stratified_random,3,3.5,3.4,1,2.1,,2026-05-18 15:35:10
S0025,GBIF_Panthera_onca_02,Panthera onca,Jaguar,1,gemma3,conservation,,0.7,0,forced_shr1,1,1,1,1,1,,2026-05-18 15:35:31
S0396,iNat_Addax_nasomaculatus_03,Addax nasomaculatus,Addax,3,llava16,conservation,,0.7,2,stratified_random,1.3,1.6,1.8,1,1.7,,2026-05-18 15:37:05
S0489,iNat_Addax_nasomaculatus_04,Addax nasomaculatus,Addax,3,qwen35_9b,factual,,0.7,1,forced_shr1,1,1,1,1,1,,2026-05-18 15:37:41
S0500,iNat_Hippopotamus_amphibius_02,Hippopotamus amphibius,Hippopotamus,1,qwen35_9b,mythological,East Asian (Chinese/Japanese),0.7,2,forced_evasion,4.9,3.7,4.5,5,4.6,,2026-05-18 15:39:00
S0267,GBIF_Gorilla_beringei_beringei_00,Gorilla beringei beringei,Mountain gorilla,3,qwen3vl8b,conservation,,0.3,2,forced_shr1,5,5,1,5,4.7,,2026-05-18 15:39:46
S0222,iNat_Ambystoma_mexicanum_04,Ambystoma mexicanum,Axolotl,2,gemma4_8b,factual,,0.7,0,forced_shr1,1,1,1,1,1,,2026-05-18 15:40:27
S0117,GBIF_Balaenoptera_musculus_00,Balaenoptera musculus,Blue whale,3,llava_interleave,factual,,0.3,0,forced_shr1,3.8,3.9,2.3,1,3.4,,2026-05-18 15:41:13
S0067,iNat_Ambystoma_mexicanum_04,Ambystoma mexicanum,Axolotl,2,ayavision,conservation,,0.7,0,forced_shr1,1,1,1,1,1,,2026-05-18 15:41:42
S0174,iNat_Panthera_leo_02,Panthera leo,African lion,1,gemma4_8b,childrens,,0.3,2,forced_ehr0,3.5,4.5,1,1,3.1,,2026-05-18 15:44:05
S0348,GBIF_Panthera_pardus_orientalis_02,Panthera pardus orientalis,Amur leopard,3,gemma3,mythological,West African (Yoruba),0.3,2,forced_ehr_high,1,1,1,1,1,,2026-05-18 15:44:24
S0020,iNat_Ambystoma_mexicanum_01,Ambystoma mexicanum,Axolotl,2,ayavision,mythological,West African (Yoruba),0.7,0,forced_shr1,5,1,3,1,3.6,,2026-05-18 15:44:53
S0086,GBIF_Arctictis_binturong_00,Arctictis binturong,Binturong,2,gemma3,childrens,,0.7,1,forced_shr1,1,1,1,1,1,,2026-05-18 15:45:15
S0285,GBIF_Panthera_tigris_tigris_01,Panthera tigris tigris,Bengal tiger,1,idefics3,childrens,,0.7,0,forced_ehr0,4.1,3.5,4,1,3,,2026-05-18 15:46:22
S0341,GBIF_Ambystoma_mexicanum_01,Ambystoma mexicanum,Axolotl,2,qwen35_9b,factual,,0.3,1,forced_evasion,1,1,1,1,1,,2026-05-18 15:46:43
S0150,iNat_Equus_quagga_04,Equus quagga,Plains zebra,1,qwen25vl,conservation,,0.7,0,forced_shr1,1,1,1,1,1,,2026-05-18 15:47:00
S0135,GBIF_Giraffa_camelopardalis_01,Giraffa camelopardalis,Giraffe,1,idefics3,conservation,,0.3,2,forced_ehr0,4.1,4.6,4,5,3.6,,2026-05-18 15:47:19
S0433,iNat_Ailurus_fulgens_03,Ailurus fulgens,Red panda,2,qwen3vl8b,childrens,,0.7,0,stratified_random,5,5,3.6,1,4.3,,2026-05-18 15:47:48
S0417,iNat_Diceros_bicornis_04,Diceros bicornis,Black rhino,3,gemma4_8b,factual,,0.3,2,forced_shr1,1,1,1,1,1,,2026-05-18 15:48:08
S0313,iNat_Alligator_mississippiensis_01,Alligator mississippiensis,American alligator,4,llava16,mythological,Hindu,0.3,1,forced_shr1,1,1,1,1,1,,2026-05-18 15:48:27
S0206,iNat_Balaenoptera_musculus_04,Balaenoptera musculus,Blue whale,3,llava16,factual,,0.7,2,forced_shr1,5,4.4,3.5,5,4.1,,2026-05-18 15:48:51
S0076,iNat_Acinonyx_jubatus_02,Acinonyx jubatus,Cheetah,4,llava_interleave,childrens,,0.7,0,forced_shr1,1,1,1,1,1,,2026-05-18 15:49:11
S0371,GBIF_Diceros_bicornis_02,Diceros bicornis,Black rhino,3,ayavision,mythological,Ancient Greek,0.7,0,forced_evasion,3.7,4.4,3.6,1,4.2,,2026-05-18 16:02:24
S0387,iNat_Aquila_chrysaetos_01,Aquila chrysaetos,Golden eagle,4,qwen3vl8b,childrens,,0.7,1,stratified_random,5,5,5,1,3.9,,2026-05-18 16:02:52
S0078,iNat_Diceros_bicornis_01,Diceros bicornis,Black rhino,3,qwen35_9b,conservation,,0.3,2,forced_shr1,5,5,5,5,5,,2026-05-18 16:03:09
S0095,iNat_Ambystoma_mexicanum_04,Ambystoma mexicanum,Axolotl,2,llava16,conservation,,0.7,0,forced_shr1,1,1,1,1,1,,2026-05-18 16:03:26
S0388,iNat_Aquila_chrysaetos_01,Aquila chrysaetos,Golden eagle,4,gemma3,mythological,Celtic,0.3,0,forced_evasion,1,1,1,1,1,,2026-05-18 16:04:31
S0304,GBIF_Diceros_bicornis_00,Diceros bicornis,Black rhino,3,idefics3,conservation,,0.7,0,forced_evasion,3.5,3.7,1,1,2.3,,2026-05-18 16:05:24
S0209,iNat_Setonix_brachyurus_02,Setonix brachyurus,Quokka,2,qwen2vl2b,conservation,,0.3,0,forced_shr1,4.3,4.4,1,1,2.5,,2026-05-18 16:05:47
S0140,iNat_Acinonyx_jubatus_02,Acinonyx jubatus,Cheetah,4,qwen3vl8b,factual,,0.7,0,stratified_random,5,5,5,1,4.4,,2026-05-18 16:06:05
S0200,GBIF_Panthera_pardus_orientalis_02,Panthera pardus orientalis,Amur leopard,3,qwen3vl8b,mythological,West African (Yoruba),0.3,0,stratified_random,1,1,1,1,1,,2026-05-18 16:06:42
